,ID,Hostel_name,address,pincode,latitude,longitude,review,Rating,wifi,ac,laundry,security,price
0,0,SMP Group of PGs,"41, 3rd Cross Road,opposite to metro piller no 209,Raghuvanahalli, Subramanyapura",560068.0,12.882913,77.54605,average,4.4,1.0,0.0,0.0,1.0,4500
1,1,Royal New Luxury PG for Ladies,"ROYAL PG, 10TH CROSS, NEAR SAI BABA TEMPLE,, BESIDE ROJA SILKS,HOUSR MAIN ROAD, GAREBAVIPALYA",560070.0,12.898757,77.628021,average,4.0,1.0,0.0,0.0,1.0,3000
2,2,OM Sai Lakshmi PG,"MegaMart, #1596/1, Amma Kodava Samaj, 27th cross, 30th Main, Banashankari 3rd stage. Near DeveGowda(DG) Petrol Bunk opp to, Banashankari Stage II, Banashankari, Bengaluru, Karnataka 560070",560070.0,12.92400256,77.56070052,good,5.0,1.0,1.0,1.0,1.0,5000
3,3,The Beehive Hostel Luxury mens PG,"2237, 23rd Cross Rd, next to Karnataka Grameena Bank, Karesandra, Banashankari Stage II, Banashankari, Bengaluru, Karnataka 560070",560111.0,12.924089,77.571722,average,4.4,1.0,1.0,1.0,1.0,6000
4,4,ELITE GIRLS PG / HOSTEL,"7, 3rd Cross Rd, near Dayananda Sagar college of engineering, Kumaraswamy Layout, Bengaluru, Karnataka 560111",560005.0,12.910611,77.564789,good,4.9,1.0,1.0,1.0,1.0,5700
5,5,home town paying guest,"18, Buddha Vihara Rd, above The Paan Studio, Pulikeshi Nagar, Bengaluru, Karnataka 560005",560016.0,12.9964924,77.61714221,average,4.2,1.0,1.0,1.0,1.0,6500
6,6,Rentorio Hostel,"1st Main Rd, Bannerghatta Main Rd, Pai Layout, Hulimavu, Bengaluru, Karnataka 560016",560076.0,12.88128791,77.59642657,good,5.0,1.0,1.0,1.0,1.0,8000
7,7,Covie Bannerghatta 185 Paying Guest/Hostels,"113, Bannerghatta Main Rd, Madhuban Colony, Hulimavu, Bengaluru, Karnataka 560076",560041.0,12.87566582,77.60382217,good,5.0,1.0,1.0,1.0,1.0,12000
8,8,SA PG,"#76,/1-4 30 th cross 4th T block Swagat main Road East, Tilak Nagar, Jayanagar, Bengaluru, Karnataka 560041",560076.0,12.93052602,77.5951554,good,5.0,1.0,1.0,1.0,1.0,6500
9,9,Hive Hostels,"No. 10 - 11, Hive Hostels, Bannerghatta Main Rd, Pai Layout, Hulimavu, Bengaluru, Karnataka 560076",560076.0,12.87814982,77.59774551,good,4.8,1.0,1.0,1.0,1.0,5000
10,10,Abuzz Oxfordcaps,"85/1, First Cross, Bannerghatta Main Rd, Hulimavu, Bengaluru, Karnataka 560076",560076.0,13.92747279,77.67487344,average,4.1,1.0,0.0,0.0,1.0,3500
11,11,Sudarshan Luxury Living - Hulimavu,"arch, no 9 2nd cross thimmareddy layout, Bannerghatta Main Rd, opp. Hulimavu, opp. christ university, Bengaluru, Karnataka 560076",560062.0,12.88317941,77.59483865,average,3.7,1.0,1.0,1.0,1.0,8000
12,12,Shivrang PG For Gents,"37/40, 3rd Main Road, 3rd Cross Rd, Srinidhi Layout, 8th Phase, J. P. Nagar, Bengaluru, Karnataka 560062",560078.0,12.88378585,77.57231974,average,4.2,1.0,1.0,1.0,1.0,5000
13,13,New Sri Vaishnavi Gents Pg,"metro station, ##2052/28-29e, jothi layout, opp. to yelchanahalli, Yelachenahalli, J. P. Nagar, Bengaluru, Karnataka 560078",560078.0,12.89687983,77.57111811,average,3.7,1.0,1.0,1.0,1.0,5000
14,14,zolo icarus,"17, Beereshwara Nagar, Chunchgatta, Phase 7, J. P. Nagar, Bengaluru, Karnataka 560078",560085.0,12.88908104,77.57315916,average,4.0,1.0,1.0,1.0,1.0,10000
15,15,"Amma Ladies PG, Water tank road","No.3006, Shobha Nilayam, VBN Co Operative Society Layout, Banashankari 3rd Stage",560078.0,12.93188678,77.54633059,average,4.0,1.0,1.0,1.0,1.0,10000
16,17,Shree Nideshwara Ladies Pg,"No.04 23rd Main, 1st Cross Marenhalli, Jp Nagar 2nd Phase, Bangalore - 560078 (Near Raghavendra Swamy Mata)",560078.0,12.9161871,77.58639781,average,4.5,1.0,1.0,1.0,1.0,5000
17,18,Sri Balaji Luxurious Ladies Pg,"No 26, 22nd Main Road, Jp Nagar 2nd Phase, Bangalore - 560078 (Behind Marenahalli Kala Bhawan,Near Raghavendra Swamy Matt)",560076.0,12.91416,77.5857619,good,4.9,1.0,1.0,1.0,1.0,5000
18,19,SS LUXURY FOR GENTS AND LADIES PG,"No 58, 1st Stage, 1st Cross, Govinda Reddy Layout, Arkere Micolayout, bangalore - 560076 (Near Ganesga Temple)",560076.0,12.89152465,77.5940521,average,3.9,1.0,0.0,0.0,1.0,4000
19,20,Ss Comforts Gents Pg,"No 33/111, Eastern Portion, 7th Cross, Bilekahalli, Bangalore - 560076 (Opp to Honda Show Room)",560011.0,12.90145844,77.6011616,good,4.9,1.0,1.0,1.0,1.0,6000
20,21,Fourth Pg Accommodation,"No.400, 30th Cross, 8th B Main Road, Jayanagar 4th Block, Bangalore - 560011 (Above Sukh Sagar Hotel)",560004.0,12.92898045,77.58266927,average,3.9,1.0,1.0,1.0,1.0,7000
21,23,My Home Pg For Men,"No.31/50, Netaji Road, Tata Silk Farm Road, T.R Nagar, Basavanagudi, Bangalore - 560004 (Near Nagasandra Circle)",560078.0,12.93496039,77.57154149,average,3.8,1.0,1.0,1.0,1.0,5000
22,24,ATITHI BOYS PG,"1st Stage, Kumaraswamy Layout, Bengaluru, Karnataka 560078",560111.0,12.89653916,77.58294257,average,4.1,1.0,1.0,1.0,1.0,5000
23,25,ELITE GIRLS PG / HOSTEL,"7, 3rd Cross Rd, near Dayananda Sagar college of engineering, Kumaraswamy Layout, Bengaluru, Karnataka 560111",560078.0,12.94084024,77.58229152,good,4.9,1.0,0.0,0.0,1.0,4700
24,26,Lohitha Girl's PG,"1555, 6th Cross Rd, 1st Stage, Kumaraswamy Layout, Bengaluru, Karnataka 560078",560078.0,12.92745576,77.55894558,good,4.6,1.0,1.0,1.0,1.0,6000
25,27,Anagha Girls PG,"36-37, 2nd Cross ,Teachers Colony, near Dayananda College, 1st Stage, Bengaluru, Karnataka 560078",560078.0,12.97296006,77.55619899,good,4.9,1.0,1.0,1.0,1.0,7000
26,28,Ganapa's Boys PG,"Agasthya Arcade, 3rd Cross, near Dayanand Sagar College, 1st Stage, Kumaraswamy Layout, Bengaluru, Karnataka 560078",560078.0,12.97200805,77.54959699,good,4.6,1.0,1.0,1.0,1.0,5000
27,29,SAGAR BOYS PG,"WH68+5PW, Sagar Boys PG, opposite Dayanand sagar college, Bengaluru, Karnataka 560078",560078.0,12.98271377,77.57294294,average,3.8,1.0,0.0,0.0,1.0,4500
28,30,Yashoda Girls PG,"WH58+H2C, 7th Cross Rd, 1st Stage, Kumaraswamy Layout, Bengaluru, Karnataka 560078",560078.0,12.98539013,77.53723737,average,4.1,1.0,1.0,1.0,1.0,5500
29,31,Anagha Girls PG,"36-37, 2nd Cross ,Teachers Colony, near Dayananda College, 1st Stage, Bengaluru, Karnataka 560078",560078.0,12.91384236,77.5705547,good,4.9,1.0,1.0,1.0,1.0,10000
30,32,Stanza Living Anamur House,"Sudhakar Readdy, 70, 3rd Cross Rd, Teachers Colony, Kumaraswamy Layout, Bengaluru, Karnataka 560078",560078.0,12.91216916,77.57115552,average,4.2,1.0,1.0,1.0,1.0,6000
31,33,Paradise PG For Boys & Men,"10, 3rd Cross Rd, Teachers Colony, Kumaraswamy Layout, Bengaluru, Karnataka 560070",560078.0,12.90689259,77.5658607,average,3.9,1.0,1.0,1.0,1.0,5600
32,34,Keerthi sai nest ladies pg,"metro statio, No 46/5 17th A cross 38th main JP nagar phase 6 Near sindhoor convention hall, behind JP nagar, Bengaluru, Karnataka 560078",560078.0,12.90655104,77.58001781,average,4.3,1.0,1.0,1.0,1.0,6500
33,35,JP Nagar PG,"1, 17th cross, 33rd Main Rd, JP Nagar Phase 6, J. P. Nagar, Bengaluru, Karnataka 560078",560078.0,12.90544739,77.58588402,average,4.1,1.0,1.0,1.0,1.0,5500
34,36,Shirdi sai mansion pg,"16th Main Rd, KSRTC Layout, 2nd Phase, J. P. Nagar, Bengaluru, Karnataka 560078",560078.0,12.91398083,77.59412377,average,4.2,1.0,0.0,0.0,1.0,4500
35,37,Skanda Boys PG,"6th Phase, 23 ,1st main road, JP Nagar, Puttenahalli, Bengaluru, Karnataka 560078",560078.0,12.90270626,77.58241089,average,3.9,1.0,1.0,1.0,1.0,5500
36,38,Flourish Luxury Ladies Pg,"No:8,Behind Essar,65/8/1,Kanakapura Road, JP Nagar 1st Phase, Bengaluru 2nd Cross, Gangadhar Nagar, Opp Sarakki Bus Stop and Metro Piller : 55, Bengaluru, Karnataka 560078",560050.0,12.91289268,77.57037174,average,4.5,1.0,1.0,1.0,1.0,7000
37,39,Venkateshwara P G,"1061 3rd Cross 7th Main Srinivasnagar, Banashankari 1st Stage, Bengaluru, Karnataka 560050",560070.0,12.93757084,77.55883037,good,5.0,1.0,1.0,1.0,1.0,6000
38,40,The Beehive Hostel Luxury mens PG,"2237, 23rd Cross Rd, next to Karnataka Grameena Bank, Karesandra, Banashankari Stage II, Banashankari, Bengaluru, Karnataka 560070",560078.0,12.92420664,77.57385514,average,4.4,1.0,1.0,1.0,1.0,6500
39,41,myroomie-Erica Girls PG / Hoste,"Erica, Eshwara Nagar, Banashankari Temple Ward, Bengaluru, Karnataka 560078",560070.0,12.91434748,77.56976917,average,4.3,1.0,1.0,1.0,1.0,7000
40,42,SRI GURURAGHAVENDRA PG for BOYS,"Stage, 2 #7, Subramanya Pura Rd, Kadarenahalli, Banashankari, Bengaluru, Karnataka 560070",560070.0,12.91484944,77.56247357,good,5.0,1.0,0.0,0.0,1.0,4500
41,43,Pg ACCOMMODATION for boys,"#5, 3rd and 4th cross Kumarswamy layout 1st stage 70meters from dayananda Sagar Collage, Bengaluru, Karnataka 560070",560085.0,12.91267428,77.56298855,good,4.8,1.0,1.0,1.0,1.0,6000
42,44,Hoysala P.G. Hostel,"WGJR+9HR, Hoysala P.G. hostel Karnataka, 2nd Phase, [no name], Banashankari, Bengaluru, Karnataka 560085",560070.0,12.93198058,77.54515334,average,4.4,1.0,1.0,1.0,1.0,8000
43,45,BNMIT Boys Hostel,"WH83+W88, 22nd Main Rd, Anjanaswamy Layout, Padmanabhanagar, Bengaluru, Karnataka 560070",560070.0,12.91762686,77.55433942,average,3.0,1.0,0.0,0.0,1.0,4500
44,46,White House Women's Residence,"623/9, 1st B Main Rd, 7th Block West, 7th Block, Jayanagar, Bengaluru, Karnataka 560070",560011.0,12.93149603,77.57346579,average,3.9,1.0,1.0,1.0,1.0,7000
45,47,Keerthi PG For Ladies,"177/B, 1/1 GF, 22nd Cross, 7th B Main Rd, Jayanagar 3rd Block, Jayanagar, Bengaluru, Karnataka 560011",56011.0,12.93671315,77.58062621,average,4.4,1.0,0.0,0.0,1.0,4500
46,48,Jayanthi Luxury PG for Girl,"208, 7th Main Rd, 4th Block, Jayanagar, Bengaluru, Karnataka 560011",560070.0,12.92564699,77.58039685,average,4.3,1.0,1.0,1.0,1.0,5000
47,49,Durga PG & Hostel,"626, 1st Cross Rd, Jayanagar 6th Block, Jayanagar, Bengaluru, Karnataka 560070",560062.0,12.93074995,77.57189961,average,4.4,1.0,1.0,1.0,1.0,6500
48,50,Rajmahal Pg,"No. 3475 6th Cross, Manjunath Nagar Raghuvanalli, Kanakapura Road",560062.0,12.88141771,77.54341883,average,4.0,1.0,1.0,1.0,1.0,5000
49,51,Nandana Organics Pg,"No 1233/1 Surya Prema Appartment, 4th Floor, 1st Cross Manjunatha Nagara,Raghunalli",560062.0,12.88300103,77.546726,average,4.2,1.0,1.0,1.0,1.0,5000
50,52,SMP Paying Guest,"No.10, Kanakpura Main Road, Raghunalli",560078.0,12.88572874,77.54696484,average,4.1,1.0,1.0,1.0,1.0,5500
51,53,Atithi Boys Pg,No. 1738(Near Kumaraswamy Layout Bus Stop and Sagar Hospital and Dayananda Sagar College),560078.0,12.9061572,77.56615273,average,4.0,1.0,0.0,0.0,1.0,4000
52,54,Flourish Paying Guest For,"No 56-163-08, Gangadhar Nagar, Jp Nagar (Opp Sarakki Bus Stop Metro Pillar No 55)",560111.0,12.90837578,77.57299769,average,4.3,1.0,1.0,1.0,1.0,6000
53,56,RN Boys Pg,"No 92, 4th Cross, Teachers Colony,Kumaraswamy Layout(Near Dayanand Sagar College)",560078.0,12.91178178,77.56661076,average,4.5,1.0,1.0,1.0,1.0,5000
54,57,S S Paying Guest For Men,"No 185, SSTowers,Kanakapura Road,Jp Nagar(Opposite Sarakki Bus Stop,Near Pillar No 55)",560078.0,12.91007039,77.57281299,average,3.7,1.0,0.0,0.0,1.0,3000
55,58,Skanda PG,"No 23, Asta Lakshmi Layout, 1st Main Road, Puttenahalli, Jp Nagar 6th Phase (Near Inchara Hotel)",560083.0,12.90000854,77.58295356,average,4.0,1.0,0.0,0.0,1.0,4000
56,59,G S PG,"G S Apartment, Kembhathalli Road, Gottigere(Behind Body and Beauty Wellness Center)",560076.0,12.85441935,77.58699027,average,4.0,1.0,0.0,0.0,1.0,4500
57,60,Stay Safe PG,"NO 301 G R Queens Ambar, Omkar Nagar 1st Cross Arekare, Hulimavu",560078.0,12.87026569,77.58899233,average,4.0,1.0,0.0,0.0,1.0,3500
58,61,SR2 Galaxy PG Girls,"No. 9/10, 2nd Main, RBI Layaout, Vinayaka School Arch, Jp Nagar 7th Phase",560060.0,12.89449335,77.57714244,average,4.0,1.0,1.0,1.0,1.0,5000
59,62,Sai Sthri Raksha Ladies Pg,"No.102, LIGH, 2nd Main, 2nd Stage, Kengeri Satelite Town(Near Hoysala Circle)",560098.0,12.92539447,77.48518074,average,4.3,1.0,0.0,0.0,1.0,4500
60,63,Good Lands Luxury Pg,"No 24, 1st Cross BHEL Layout, Rajarajeshwari Nagar(Near Global Tech Park Front Gate and R V College Of Engineering)",560060.0,12.92391674,77.50586346,average,4.5,1.0,1.0,1.0,1.0,6000
61,64,Sri Sai Residence For Ladies,"No 7, 1st Main Outerring RoadKengeri Main Road, Kengeri Satelite Town(Opposite to Krishna Grand Hotel)",560059.0,12.922259,77.48593087,good,4.7,1.0,1.0,1.0,1.0,10000
62,65,Sri Sai Ram Ladies & Gents PG,"No.468 Global Bulding, 3rd Cross, Global Village Main Road, R V Road",560060.0,12.91466589,77.49990998,average,4.0,1.0,0.0,0.0,1.0,3000
63,66,Shree Raksha Paying Guest,"No.1, 1st Main, 3rd Cross, Kengeri Satellite Town, Kengeri",560098.0,12.91325801,77.48084537,average,3.4,1.0,0.0,0.0,1.0,4000
64,67,Hema PG For Men and Women,"No 650D, BEML ROAD, Rajarajeshwari Nagar(Above Hyderabadi Biriyani Resturant and BEML COMPLEX)",560111.0,12.93067323,77.51403304,average,3.8,1.0,1.0,1.0,1.0,5000
65,68,Cloud 9 Pg,"No 73/732, M R Complex, 14th Main Road, Kumaraswamy Layout(Near Police Station)",560085.0,12.9118534,77.56681698,average,3.4,1.0,0.0,0.0,1.0,3500
66,69,Akshaya PG for Men's,"597 Police Station Rd, 2nd phase Hosakerehalli LAyout, Banashankari 3rd stage, Banashankari",560085.0,12.93352405,77.54467935,average,3.0,1.0,1.0,1.0,1.0,5000
67,70,Adya Mansions (Best PG for Ladies),"83, 6th A Cross Rd, behind Sri Hari Kalyana Mantapa, Kaveri Nagar, Banagirinagara, Banashankari 3rd Stage, Banashankari",560078.0,12.93543227,77.55904916,average,4.2,1.0,1.0,1.0,1.0,6000
68,71,Vbs Pg For Gents,"No 836, 7th Main, KSRTC Layout, Jp Nagar 2nd Phase(Beside Jp Nagar Congress Office)",560041.0,12.91399329,77.59488964,average,4.5,1.0,1.0,1.0,1.0,7000
69,72,SHIRIDI SAI GENTS PG,"No 44, 11th A Main, 13th Cross, Jayanagar 5th Block (Near Ragavandra Temple)",560076.0,12.91927838,77.59133129,average,4.5,1.0,1.0,1.0,1.0,8000
70,73,V B R LADIES P G,"No 456, Samrat Layout Arekere Bannerghatta Road, Arekere Gate",560076.0,12.89154578,77.59133408,good,4.9,1.0,1.0,1.0,1.0,12000
71,74,SLN Homes Ladies Hostel,"No18/19, 2nd Main Vijayshree Layout, Bannerghatta Road",560078.0,12.88268175,77.59549794,good,4.8,1.0,1.0,1.0,1.0,5000
72,75,Aravind Modern Nest PG,"No.32, Arvind Complex, Kanakapura Main Road, 1st Phase, Jp Nagar",560070.0,12.90420247,77.58568192,average,3.9,1.0,0.0,0.0,1.0,4000
73,76,Sree Chakra Paying Guest Accommodation,"No. 224/54, 45th Cross, 8th Block, Jayanagar 8th Block",560078.0,12.91800209,77.5779219,average,4.1,1.0,0.0,0.0,1.0,3500
74,77,Shree Vigneshwara Luxuries,"H.No.6, 20th Cross, 24th Main Road, Jp Nagar 5th Phase",560078.0,12.89782028,77.58636274,good,4.6,1.0,0.0,0.0,1.0,4000
75,78,Sri Vinayaka PG,"No 1/A, 18th Cross, 23rd Main, Jp Nagar 5th Phase, Bangalore",560078.0,12.9008582,77.5864443,good,4.9,1.0,1.0,1.0,1.0,5000
76,79,Lakshmi Villas,"No 19, 17th Cross, 26th B Main, Murthappa Garden, Jp Nagar 6th Phase",560041.0,12.9026843,77.58464133,average,4.1,1.0,1.0,1.0,1.0,5000
77,80,Sri Ram Sri Lakshmi Pg,"No 701, Sri Ram Pg For Gents, Jayanagar 5th Block(Near Ragavendra Swami Matha)",560078.0,12.91806215,77.58606574,average,3.7,1.0,1.0,1.0,1.0,5400
78,81,Friends Pg,"No 18, 5th A Cross, 24th Main, JP Nagar, 2nd Phase, Jp Nagar(Near R V Dental Colleage)",560078.0,12.91296871,77.58597353,average,4.0,1.0,0.0,0.0,1.0,3400
79,82,Mohan Vatika,"# 5, Sukh Mohan Villa, Apartment Road, 5th Phase, Jp Nagar",560078.0,12.90280342,77.59183684,average,3.3,1.0,0.0,0.0,1.0,4500
80,83,Karnataka Paying Guest,Karnataka Paying Guest(Near Inchara Hotel),560078.0,12.90369761,77.58210517,average,3.8,1.0,1.0,1.0,1.0,5000
81,84,Shri Shyam Vaishnavi Gents P G,"No 7, 30th Main, Jp Nagar 1st Phase(Opp Oxford School and Behind RV Dental College)",560078.0,12.91046998,77.58166063,average,4.4,1.0,1.0,1.0,1.0,5500
82,85,MGR & Amaravathi Paying Guest,"#86 15th Cross, 15th Main J P Nagar 2nd Phase, Jp Nagar(Near Vet College)",560078.0,12.90788247,77.59142227,average,3.5,1.0,0.0,0.0,1.0,3500
83,86,Aarush Ladies Pg,"No 13/1, 26 Th Main, 17th Cross, Jp Nagar 6th Phase(Near Inchara Hotel)",560078.0,12.90198344,77.58498871,average,3.7,1.0,0.0,0.0,1.0,4000
84,87,Anagha Ladies PG,"No 129, 3rd Cross, Pai Layout, Bannerughatta Road, Hulimavu(Near Cafe Kabana) 

",560076.0,12.88146875,77.59745814,good,4.7,1.0,1.0,1.0,1.0,5000
85,88,S A PG FOR GENTS,"Dev Residency No.338, Venugopal Reddy Layout, 1st Cross, 2nd Main Arekere, Bannerghatta Road, Bangalore - 560076 (Behind Meenakshi Residency Apartment)",560070.0,12.88716514,77.60038333,good,4.9,1.0,1.0,1.0,1.0,7000
86,89,Swathi Luxuries Pg For Women,"3286/A, KR Main Road, 17th Cross Rd, Banashankari Stage II, Banashankari 2nd Stage, Bangalore - 560070 (Near Akshya Hospital)",560076.0,12.92621801,77.57317777,average,4.2,1.0,0.0,0.0,1.0,4500
87,90,Star PG,"No.10-4, 29th Main, BTM Layout 2nd Stage, bangalore - 560076 (Near Vijaya Bank)",560076.0,12.90605084,77.60386381,good,4.9,1.0,1.0,1.0,1.0,6000
88,91,S T R Pg For Gents,"No 11, 4th A Main, MS Palya, BTM Layout 2nd Stage, Bangalore - 560076 (Behind Vega City Mall)",560069.0,12.90509154,77.60425999,average,3.6,1.0,0.0,0.0,1.0,4500
89,92,Slv Ragigudda Ladies Pg,"SLV RAGIGUDDA PG FOR LADIES No.1991, E Cross, Jayanagar 9th Block, Bangalore - 560069 (SLV Raggiguda Hotel, Raggiguda Temple)",560004.0,12.91541995,77.59474583,average,3.6,1.0,1.0,1.0,1.0,5000
90,93,Vinayaka PG Accommodation,"No 240/1, 3rd Main, 2nd Cross Byrappa Block, Thyagaraja Nagar, Bangalore - 560004 (Shanimathma Temple)",560041.0,12.93486395,77.5528899,average,3.1,1.0,0.0,0.0,1.0,4500
91,94,Sri Nimishamba Ladies Pg,"Amar Nivas, No.33/93, 5th Main, Jayanagar 5th Block, Bangalore - 560041 (Near Sangam Signal)",560069.0,12.91843909,77.58063684,average,3.9,1.0,1.0,1.0,1.0,6000
92,95,Shree Bhargavi Luxurious PG,"AVR Arcade, #922, 28th Main, East End Road, Jayanagar 9th Block, Bangalore - 560069 (Near Karnataka Bank)",560085.0,12.91955292,77.59512189,average,4.5,1.0,1.0,1.0,1.0,7000
93,96,Castle Ladies PG,"House No 06 Kmaashi Bharma Ppa, 5th Main Road, Girinagar, Banashankari 3rd Stage, bangalore - 560085 (Above Pb Varior Bakery, Near Avalahalli Bda Park Bus Stop)",560004.0,12.94375018,77.54002154,good,4.9,1.0,0.0,0.0,1.0,4500
94,97,Chegus Serene,"Door No 17, Patalama Temple Road, Basavanagudi, Bangalore - 560004 (Opst Pai Conversion Hall)",560011.0,12.93932756,77.56733726,good,4.7,1.0,1.0,1.0,1.0,8000
95,98,KEERTHI LADIES PG,"No 177/B, 1/1, 7th B Main, 3rd Block, Jayanagar 3rd Block, Bangalore - 560011 (Next to Menaka Card, Opp to N M R K V College.)",560069.0,12.9256782,77.57248784,average,4.4,1.0,1.0,1.0,1.0,5000
96,99,Sai Eshwar Pg For Ladies,"No 1626, 40th A Cross 18th Main Road, Jayanagar 9th Block, Bangalore - 560069 (Near Jain College)",,12.91805916,77.5945141,,4.9,1.0,1.0,1.0,1.0,6000
